Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,外国意匠公報資料マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,外国資料情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,foreign_doc_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,foreign_doc_info.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,削除フラグ,,,,,,,,,,,,,,,,,,,,,del_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
2,,公知資料番号,,,,,,,,,,,,,,,,,,,,,known_doc_num,,,,,,,,,,,,,○,,半角文字列型,,,,,12,,,,,10010,,,
3,,検索用公知日,,,,,,,,,,,,,,,,,,,,,search_use_known_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
4,,発行日,,,,,,,,,,,,,,,,,,,,,pub_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
5,,受入日,,,,,,,,,,,,,,,,,,,,,acpt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
6,,公知日,,,,,,,,,,,,,,,,,,,,,known_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
7,,発行国コード,,,,,,,,,,,,,,,,,,,,,pub_cntry_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,10020,,,
8,,文献名,,,,,,,,,,,,,,,,,,,,,doc_title,,,,,,,,,,,,,,,全半角文字列型,,,,,70,,,,,-,,,
9,,発行者名,,,,,,,,,,,,,,,,,,,,,publisher_name,,,,,,,,,,,,,,,全半角文字列型,,,,,100,,,,,-,,,
10,,発行者住所,,,,,,,,,,,,,,,,,,,,,publisher_addr,,,,,,,,,,,,,,,全半角文字列型,,,,,100,,,,,-,,,
11,,原語物品名,,,,,,,,,,,,,,,,,,,,,org_lang_goods_name,,,,,,,,,,,,,,,全半角文字列型,,,,,500,,,,,-,,,
12,,号,,,,,,,,,,,,,,,,,,,,,issu,,,,,,,,,,,,,,,全半角文字列型,,,,,6,,,,,-,,,
13,,巻,,,,,,,,,,,,,,,,,,,,,book,,,,,,,,,,,,,,,全半角文字列型,,,,,6,,,,,-,,,
14,,頁,,,,,,,,,,,,,,,,,,,,,pages,,,,,,,,,,,,,,,全半角文字列型,,,,,10,,,,,-,,,
15,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,,,全半角文字列型,,,,,24,,,,,-,,,
16,,公開番号,,,,,,,,,,,,,,,,,,,,,pub_num,,,,,,,,,,,,,,,全半角文字列型,,,,,16,,,,,-,,,
17,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,,,全半角文字列型,,,,,16,,,,,-,,,
18,,各国分類,,,,,,,,,,,,,,,,,,,,,every_cntry_class,,,,,,,,,,,,,,,全半角文字列型,,,,,10,,,,,-,,,
19,,ロカルノ分類,,,,,,,,,,,,,,,,,,,,,locarno_class,,,,,,,,,,,,,,,全半角文字列型,,,,,9,,,,,-,,,
20,,発行媒体シリアル番号,,,,,,,,,,,,,,,,,,,,,pub_media_cereal_num,,,,,,,,,,,,,,,全半角文字列型,,,,,15,,,,,-,,,
21,,更新日付,,,,,,,,,,,,,,,,,,,,,updt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
