Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,特許旧事件書誌ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,pmob_g_old_case_biblog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,pmob_g_old_case_biblog.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,旧事件書誌_削除フラグ,,,,,,,,,,,,,,,,,,,,,ob_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
4,,旧事件書誌_更新日時,,,,,,,,,,,,,,,,,,,,,ob_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
5,,公害防止記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,obpr_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
6,,公害防止記事_公害防止・関連技術マーク,,,,,,,,,,,,,,,,,,,,,obpr_pllt_ctrl_relate_tech_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01150,,,
7,,追加の原特許記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,obao_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
8,,追加の原特許記事_番号種別コード,,,,,,,,,,,,,,,,,,,,,obao_num_typ_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01720,,,
9,,追加の原特許記事_原出願番号,,,,,,,,,,,,,,,,,,,,,obao_parent_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,01550,,,
10,,追加の原特許記事_登録番号,,,,,,,,,,,,,,,,,,,,,obao_reg_num,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,01680,,,
11,,独立または追加の原出願記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,obpt_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
12,,独立または追加の原出願記事_変更前の四法コード,,,,,,,,,,,,,,,,,,,,,obpt_past_law_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01290,,,
13,,独立または追加の原出願記事_変更前の出願番号,,,,,,,,,,,,,,,,,,,,,obpt_past_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,01550,,,
14,,審査官記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,obei_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
15,,参考文献(特許文献名)記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,obpd_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
16,,参考文献(非特許文献名)記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,obnp_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
