Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,登録マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,本権商品名ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,right_goods_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,right_goods_name.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,処理種別,,,,,,,,,,,,,,,,,,,,,processing_type,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05330,,,
2,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,05080,,,
3,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,05220,,,
4,,分割番号,,,,,,,,,,,,,,,,,,,,,split_num,,,,,,,,,,,,,○,,半角文字列型,,,,,31,,,,,05270,,,
5,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,05110,,,
6,,指定商品又は指定役務の区分,,,,,,,,,,,,,,,,,,,,,desig_goods_or_desig_wrk_class,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,05130,,,
7,,マスタ更新年月日,,,,,,,,,,,,,,,,,,,,,mstr_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,指定商品又は指定役務名レングス,,,,,,,,,,,,,,,,,,,,,desg_gds_desg_wrk_name_len,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,-,,,
9,,指定商品名又は指定役務名,,,,,,,,,,,,,,,,,,,,,desg_gds_name_desg_wrk_name,,,,,,,,,,,,,,,全半角文字列型,,,,,12000,,,,,-,,,
10,,レコード番号,,,,,,,,,,,,,,,,,,,,,rec_num,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,-,,,
