Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,審判当事者ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,snpn_tuzsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,snpn_tuzsy.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,審判番号,,,,,,,,,,,,,,,,,,,,,snpn_bngu,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,18440,,,
3,,当事者種別,,,,,,,,,,,,,,,,,,,,,tuzsy_sybt,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,18210,,,
4,,繰返番号,,,,,,,,,,,,,,,,,,,,,krkes_bngu,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,-,,,
5,,異議当事者番号,,,,,,,,,,,,,,,,,,,,,ig_tuzsy_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,18430,,,
6,,参加申請番号,,,,,,,,,,,,,,,,,,,,,snk_snsi_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
7,,申請人コード,,,,,,,,,,,,,,,,,,,,,snsinn_cd,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,18420,,,
8,,代理人種別,,,,,,,,,,,,,,,,,,,,,dirnn_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18030,,,
9,,更新日時,,,,,,,,,,,,,,,,,,,,,kusn_ntz_bat,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
